Label,Identifier.Xmin,Identifier.Ymin,Identifier.Xmax,Identifier.Ymax,Identifier.CentroidX,Identifier.CentroidY,Identifier.WeightedCentroidX,Identifier.WeightedCentroidY,Orientation.Orientation,Size.Area,Size.ConvexHullArea,Size.MajorAxisLength,Size.MinorAxisLength,Size.Perimeter,Shape.Circularity,Shape.Eccentricity,Shape.EquivalentDiameter,Shape.Extent,Shape.FractalDimension,Shape.MinorMajorAxisRatio,Shape.Solidity,Shape.HuMoments1,Shape.HuMoments2,Shape.HuMoments3,Shape.HuMoments4,Shape.HuMoments5,Shape.HuMoments6,Shape.HuMoments7,Shape.WeightedHuMoments1,Shape.WeightedHuMoments2,Shape.WeightedHuMoments3,Shape.WeightedHuMoments4,Shape.WeightedHuMoments5,Shape.WeightedHuMoments6,Shape.WeightedHuMoments7,Nucleus.Intensity.Min,Nucleus.Intensity.Max,Nucleus.Intensity.Mean,Nucleus.Intensity.Median,Nucleus.Intensity.MeanMedianDiff,Nucleus.Intensity.Std,Nucleus.Intensity.IQR,Nucleus.Intensity.MAD,Nucleus.Intensity.Skewness,Nucleus.Intensity.Kurtosis,Nucleus.Intensity.HistEnergy,Nucleus.Intensity.HistEntropy,Cluster
24,580,164,587,189,583.4580152671756,175.6259541984733,583.5430914549315,175.96785531229406,0.00751587844708468,131.0,139.0,23.49312210937796,7.562787770397515,53.14213562373095,0.582912210597804,0.9467685831999963,12.914889870235298,0.7485714285714286,-0.8648579046593239,0.32191497303709193,0.9424460431654677,0.29061190138655424,0.0557128968064325,0.002219623364020325,0.0002199066196385742,-7.807981061847803e-08,-3.6107788201622716e-05,-1.3231783717171655e-07,0.003122622833682643,6.5074247996768314e-06,2.84092683299357e-09,3.1201613159514843e-10,9.194271116857654e-22,-3.748056796561918e-13,2.937605478210831e-19,47.0,170.0,104.25190839694656,102.0,2.251908396946561,30.593703765619473,52.0,26.0,-0.054639552538132574,-1.0131672871630486,0.11776702989336287,2.1877692722857036,0
25,576,190,587,226,582.3774319066148,205.98054474708172,582.8399979930762,206.4219055742311,0.07496234891318475,257.0,322.0,38.15188610504538,10.53659567139373,86.5269119345812,0.4313607032041088,0.96110737730508,18.089294154193436,0.648989898989899,0.925999418556223,0.27617496137367437,0.7981366459627329,0.38097914924970516,0.10691668457874083,0.010297932216086879,0.0063724020250521245,5.160172840749236e-05,0.002076465152134428,1.4249189627187757e-06,0.004702355154851774,1.673588629649009e-05,1.0219882223045343e-08,5.115702494763598e-09,3.686655980592864e-17,2.0800824531995656e-11,3.015796690327332e-18,28.0,171.0,77.55252918287938,77.0,0.5525291828793826,29.6425882532264,39.0,19.0,0.3795318735600159,-0.22194027617826295,0.14554346015836725,2.0341698238068338,2
26,439,218,469,243,452.69701986754967,229.81788079470198,453.0113783257809,229.71622370271461,1.4755017239141943,604.0,618.0,30.25719397010447,25.50962943286185,89.59797974644665,0.9454756927174542,0.5377677359124315,27.73151068766428,0.8053333333333333,1.0849625007211565,0.8430930329516532,0.9773462783171522,0.1620694309547246,0.0007505501661761681,3.9182896898810136e-05,3.309562492355154e-07,7.869825651400316e-14,-6.587419695910039e-10,-1.1892009301058696e-12,0.0014678416132564414,1.1407828706268345e-07,3.4116165796058314e-11,8.462477190846724e-13,2.1941209955366144e-26,-3.253023469402996e-17,4.546961935954837e-24,32.0,204.0,116.55132450331126,115.0,1.551324503311264,32.7734903608255,47.25,23.0,0.07408686399042827,-0.2931836400454255,0.14623810359194772,2.0523628143595594,2
27,317,237,348,268,332.6305220883534,253.0615796519411,331.8371865964025,253.1601472042459,-0.6947474788218115,747.0,791.0,33.40717802419913,29.301953000725195,105.59797974644665,0.8418200139886057,0.4802795374399783,30.8400703617415,0.777315296566077,1.261780978028506,0.8771154803766951,0.9443742098609356,0.1652145241965564,0.00046393200229363275,0.0003126054332201767,2.249486942538024e-06,5.2588609644106105e-11,4.031788475718492e-08,-2.8156244662762193e-11,0.0012637294730874185,6.133832751865659e-08,1.2384428403512374e-10,6.583379227360831e-12,8.42298936737942e-23,-9.376840102087322e-16,-1.6805281318827495e-22,9.0,255.0,106.94645247657296,101.0,5.946452476572958,58.640623305053396,95.5,47.0,0.33104735368434773,-0.7991650973365894,0.11767014510518646,2.19236000277567,2
28,535,255,569,293,550.677536231884,273.94685990338166,551.1365421325334,274.56952549768204,0.6228878824040043,828.0,886.0,43.42561779083083,24.624416417909032,117.63961030678928,0.7518531894971936,0.823684642747223,32.46909827883606,0.6408668730650154,1.0276216740711632,0.5670481543064747,0.9345372460496614,0.1881148976779824,0.009326683920792672,0.00010230813927430878,8.070810235489298e-06,2.216001679512926e-10,6.783564530411147e-07,6.83989601390027e-11,0.002364509582211196,1.5099720802391268e-06,4.852221713731471e-10,9.63918145321161e-11,2.0391066324349764e-20,1.1783485914626713e-13,-4.333102489692382e-21,21.0,245.0,88.57487922705315,81.0,7.574879227053145,41.47288791184789,56.0,26.0,0.8475166554099727,0.4658456769232693,0.16568064598940463,1.9450682886811452,1
29,304,266,337,306,318.30984340044745,284.20246085011183,317.6974921492989,284.23596714514395,-0.5232223418315597,894.0,971.0,43.4558869172863,27.213758098550944,119.7401153701776,0.7835523875986065,0.7796313818344381,33.73834840345975,0.6772727272727272,1.0069765863244202,0.6262386992664415,0.9207003089598352,0.1837949341173393,0.006439271221623015,0.0005111350884832488,3.465586459402159e-05,3.5095695558482717e-09,1.982900225512104e-06,-2.9929487614614147e-09,0.0012685448559743187,2.534922066109822e-07,1.9486420173233448e-10,4.669061296437742e-12,2.436255314711679e-23,-1.8839257651385774e-15,1.3871173215819314e-22,21.0,255.0,127.8758389261745,123.0,4.875838926174495,54.6739697963253,75.75,38.0,0.395616371234094,-0.5051322279887036,0.12096552207358027,2.195735787664898,1
30,411,276,445,304,426.59135285913527,290.4769874476987,426.5417493309189,290.7268018587806,1.241859199675476,717.0,750.0,34.00669078552906,27.238702540922116,101.84062043356593,0.8687342555552607,0.5986901864787323,30.2144461073691,0.7531512605042017,0.9372345589580701,0.8009806867921727,0.956,0.16548134015824822,0.0013055327503593294,0.0001687062732547245,3.879782212117076e-06,7.852324656472792e-11,1.1138259575687448e-07,6.071865217123821e-11,0.0013162388464632152,9.288197693833772e-08,1.0304506676541753e-10,3.932259210300588e-11,2.2707634657471807e-21,1.195337266939882e-14,-1.0531394869914543e-21,13.0,255.0,104.74616457461646,91.0,13.746164574616458,63.598875918250044,98.0,46.0,0.6167206687708493,-0.6015534215976346,0.12148674645829807,2.1954888569820765,2
31,163,281,187,314,174.0671031096563,296.2176759410802,174.29878546397197,297.4926791800682,-0.2057402907899747,611.0,629.0,32.85389837687136,23.836610284402198,92.42640687119285,0.8987914541402322,0.688186644323409,27.891743614073043,0.7714646464646465,0.9239984532774752,0.7255336949962322,0.9713831478537361,0.1685313654263768,0.0027343254957174373,0.00011340756125251212,3.559138885014789e-06,6.829647267114642e-11,1.7653868213593153e-07,-2.118027116116036e-11,0.0016527183426837107,2.848537054511537e-07,2.552781691528675e-11,5.233737718031288e-11,-1.7999247850104992e-21,2.7734829105502088e-14,-6.480778781469288e-22,24.0,214.0,102.2798690671031,98.0,4.279869067103107,41.6815756883664,58.5,29.0,0.4112518811005323,-0.4305018398866469,0.12610327305455626,2.1577100078042895,2
32,333,285,355,314,344.2696390658174,299.8195329087049,343.79184282516786,299.4626046588742,-0.41976322240496733,471.0,490.0,31.336559911530134,19.409000705793414,82.76955262170047,0.8639518830667492,0.7850973282807391,24.488687706168772,0.7382445141065831,1.1239637567217922,0.6193724123065585,0.9612244897959183,0.18029316553694358,0.006450858147057995,0.0002232284475626277,1.478717525471118e-05,8.427997689786669e-10,1.14697344759299e-06,-1.0709407039292374e-10,0.0013903111874898277,4.325397887003635e-07,1.0110538393304534e-10,1.3723382159712562e-11,2.643118651504445e-22,8.336725278063676e-15,4.375503124533115e-22,48.0,222.0,128.05732484076432,131.0,-2.9426751592356766,34.85588931005943,50.5,24.0,-0.039123943187705255,-0.4189826207110796,0.1419800668046033,2.0794091344297896,2
33,1,286,33,317,16.24925816023739,300.99703264094956,16.43850390615998,300.67506279814717,1.0175912986444264,674.0,717.0,35.86582171732893,24.63854933065467,102.08326112068522,0.812756945853744,0.7266908964593729,29.294426998176625,0.6794354838709677,1.261780978028506,0.6869645849700499,0.9400278940027894,0.17557634278359857,0.0039679140994009305,0.00018681283972584744,8.895680041152054e-06,-4.6425297893303086e-11,6.843010089802635e-08,3.59652989050277e-10,0.0013126995149964785,1.9971996462772603e-07,5.197794042693164e-11,3.644118852206739e-12,-5.0060765242896436e-23,-1.330995214805221e-15,-3.0429594210681685e-24,37.0,240.0,128.7626112759644,126.0,2.762611275964389,43.218374791178036,62.75,31.5,0.1359617528012099,-0.5401241991829453,0.12888640386020833,2.1481679591644958,2
