Label,Area,Perimeter,equivalent_diameter_area,axis_major_length,axis_minor_length,eccentricity,solidity,intensity_mean,intensity_max,intensity_min,intensity_median,intensity_std,Cluster
69,773.0,112.5269119345812,31.372187811504013,37.28622668754114,27.24116619083486,0.6828100457255188,0.9461444308445532,68.83441138421733,159.0,44.0,65.0,16.411225950612092,0
70,945.0,118.66904755831212,34.68733731168665,43.62309280822056,27.715863509945322,0.7722255972229539,0.9712230215827338,115.09206349206349,165.0,96.0,113.0,11.431645970919252,1
71,2237.0,229.58073580374355,53.368875401047745,93.44079981342166,34.50821757354456,0.9293079785509503,0.8891096979332274,112.0402324541797,165.0,89.0,111.0,8.271660963267832,1
72,1016.0,130.3259018078045,35.96680938658481,51.60089854856331,25.618443432332636,0.8680522694824275,0.9630331753554502,111.71062992125984,150.0,97.0,111.0,6.5429325034675,1
73,660.0,100.91168824543142,28.988585676524604,33.022077470488476,26.89262042163003,0.5803276965220303,0.9482758620689655,83.2090909090909,147.0,63.0,80.0,11.678336941491638,0
74,757.0,115.59797974644665,31.045810270703488,48.04138338169235,20.296275927791147,0.9063746502263517,0.9570164348925411,108.09643328929987,150.0,94.0,107.0,7.556389544331458,1
75,512.0,95.91168824543142,25.532305945691693,29.770649512842912,23.935518589369646,0.5946330940142063,0.8692699490662139,62.498046875,175.0,35.0,57.0,20.609653288818393,0
76,607.0,94.5685424949238,27.80029502818709,33.85910609943119,23.3915877508555,0.7229974313902903,0.9574132492113565,77.72652388797364,136.0,58.0,76.0,9.848155478824275,0
77,758.0,110.81118318204308,31.066309322306914,41.75019806704287,23.804559801625036,0.82152923582308,0.9522613065326633,85.20580474934037,172.0,62.0,81.0,14.944483652328051,0
78,625.0,132.3259018078045,28.209479177387816,55.67153285447952,17.552338434311455,0.9489973959139099,0.8503401360544217,76.2816,126.0,62.0,75.0,8.405183010500128,0
79,410.0,78.76955262170047,22.847936741452536,26.95063291445157,20.27237009621069,0.6589304619169477,0.9360730593607306,81.46585365853659,117.0,67.0,79.0,8.857685370621699,0
80,892.0,117.63961030678928,33.70058862844632,42.822637367658906,27.35108058981542,0.7694507725792866,0.9601722282023681,70.30941704035874,172.0,44.0,66.0,20.030934621545356,0
81,706.0,100.18376618407356,29.98177977677484,32.022242992578036,28.41686352961259,0.4609807172469595,0.9658002735978112,79.43626062322946,126.0,61.0,78.0,8.849355518862057,0
82,431.0,79.94112549695427,23.42576026046658,28.614334828682253,19.781081670554933,0.7225681257701277,0.9556541019955654,60.25522041763341,161.0,32.0,54.0,21.10332143913562,0
83,1000.0,126.32590180780451,35.682482323055424,48.30835340136633,26.68991808995857,0.8335190329570152,0.9606147934678194,106.482,147.0,83.0,106.0,10.26019863355481,1
84,1238.0,141.63961030678928,39.702273944726784,49.9502763604284,32.739498297071485,0.7552456994413084,0.9596899224806201,113.44911147011308,146.0,97.0,113.0,5.510475705976098,1
